nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude         pressure     z-coordinate     y-coordinate     x-coordinate 
         1 -3.005391763E-01 -1.996539108E-03 -4.065676049E-01  0.000000000E+00 -6.525768202E-03 -4.065676049E-01 -1.996539108E-03 -3.005391763E-01 
         2  3.005391763E-01 -1.996539108E-03 -4.065676049E-01  0.000000000E+00 -5.944342266E-03 -4.065676049E-01 -1.996539108E-03  3.005391763E-01 
         3 -3.006894509E-01  5.983957916E-03 -4.064173303E-01  0.000000000E+00 -3.540392831E-03 -4.064173303E-01  5.983957916E-03 -3.006894509E-01 
         4  3.006894509E-01  5.983957916E-03 -4.064173303E-01  0.000000000E+00 -3.294797032E-03 -4.064173303E-01  5.983957916E-03  3.006894509E-01 
         5 -3.009895740E-01 -9.954414546E-03 -4.061172072E-01  0.000000000E+00 -6.789231273E-03 -4.061172072E-01 -9.954414546E-03 -3.009895740E-01 
         6  3.009895740E-01 -9.954414546E-03 -4.061172072E-01  0.000000000E+00 -6.082943613E-03 -4.061172072E-01 -9.954414546E-03  3.009895740E-01 
         7 -3.014386950E-01  1.389665431E-02 -4.056680862E-01  0.000000000E+00 -3.589956811E-06 -4.056680862E-01  1.389665431E-02 -3.014386950E-01 
         8  3.014386950E-01  1.389665431E-02 -4.056680862E-01  0.000000000E+00 -3.879529704E-04 -4.056680862E-01  1.389665431E-02  3.014386950E-01 
         9 -3.020355407E-01 -1.779950249E-02 -4.050712405E-01  0.000000000E+00 -6.930135532E-03 -4.050712405E-01 -1.779950249E-02 -3.020355407E-01 
        10  3.020355407E-01 -1.779950249E-02 -4.050712405E-01  0.000000000E+00 -3.906230650E-03 -4.050712405E-01 -1.779950249E-02  3.020355407E-01 
        11 -3.027784194E-01  2.165189605E-02 -4.043283618E-01  0.000000000E+00  9.975896429E-04 -4.043283618E-01  2.165189605E-02 -3.027784194E-01 
        12  3.027784194E-01  2.165189605E-02 -4.043283618E-01  0.000000000E+00  3.984078213E-04 -4.043283618E-01  2.165189605E-02  3.027784194E-01 
        13 -3.036652253E-01 -2.544291496E-02 -4.034415559E-01  0.000000000E+00 -4.965332680E-03 -4.034415559E-01 -2.544291496E-02 -3.036652253E-01 
        14  3.036652253E-01 -2.544291496E-02 -4.034415559E-01  0.000000000E+00 -3.144059387E-03 -4.034415559E-01 -2.544291496E-02  3.036652253E-01 
        15 -3.046934446E-01  2.916181316E-02 -4.024133366E-01  0.000000000E+00  9.305329513E-04 -4.024133366E-01  2.916181316E-02 -3.046934446E-01 
        16  3.046934446E-01  2.916181316E-02 -4.024133366E-01  0.000000000E+00  1.094996046E-03 -4.024133366E-01  2.916181316E-02  3.046934446E-01 
        17 -3.053134140E-01  9.111903971E-03 -4.017933672E-01  1.762736734E-02  0.000000000E+00 -4.017933672E-01  9.111903971E-03 -3.053134140E-01 
        18 -3.058601627E-01 -3.279804903E-02 -4.012466185E-01  0.000000000E+00 -3.314504882E-03 -4.012466185E-01 -3.279804903E-02 -3.058601627E-01 
        19  3.058601627E-01 -3.279804903E-02 -4.012466185E-01  0.000000000E+00 -5.754195790E-03 -4.012466185E-01 -3.279804903E-02  3.058601627E-01 
        20  3.060982982E-01  9.222283513E-03 -4.010084830E-01  1.851687071E-02  0.000000000E+00 -4.010084830E-01  9.222283513E-03  3.060982982E-01 
        21 -3.064024522E-01  2.511073958E-03 -4.007043290E-01  2.179352822E-02  0.000000000E+00 -4.007043290E-01  2.511073958E-03 -3.064024522E-01 
        22 -3.068213511E-01 -4.636908532E-03 -4.002854300E-01  2.269050158E-02  0.000000000E+00 -4.002854300E-01 -4.636908532E-03 -3.068213511E-01 
        23  3.068213511E-01 -4.636908532E-03 -4.002854300E-01  2.193114002E-02  0.000000000E+00 -4.002854300E-01 -4.636908532E-03  3.068213511E-01 
        24  3.069737848E-01  2.212566567E-03 -4.001329964E-01  2.216923710E-02  0.000000000E+00 -4.001329964E-01  2.212566567E-03  3.069737848E-01 
        25 -3.071620724E-01  3.634131527E-02 -3.999447088E-01  0.000000000E+00 -3.905442515E-04 -3.999447088E-01  3.634131527E-02 -3.071620724E-01 
        26  3.071620724E-01  3.634131527E-02 -3.999447088E-01  0.000000000E+00 -3.639885792E-04 -3.999447088E-01  3.634131527E-02  3.071620724E-01 
        27 -3.073644123E-01  1.548521662E-02 -3.997423689E-01  2.093659113E-02  0.000000000E+00 -3.997423689E-01  1.548521662E-02 -3.073644123E-01 
        28  3.073644123E-01  1.548521662E-02 -3.997423689E-01  2.054576861E-02  0.000000000E+00 -3.997423689E-01  1.548521662E-02  3.073644123E-01 
