nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude         pressure     z-coordinate     y-coordinate     x-coordinate 
         1 -3.005391763E-01 -1.996539108E-03 -4.065676049E-01  0.000000000E+00 -1.895878907E-02 -4.065676049E-01 -1.996539108E-03 -3.005391763E-01 
         2  3.005391763E-01 -1.996539108E-03 -4.065676049E-01  0.000000000E+00 -2.101257393E-02 -4.065676049E-01 -1.996539108E-03  3.005391763E-01 
         3 -3.006894509E-01  5.983957916E-03 -4.064173303E-01  0.000000000E+00  2.104152408E-02 -4.064173303E-01  5.983957916E-03 -3.006894509E-01 
         4  3.006894509E-01  5.983957916E-03 -4.064173303E-01  0.000000000E+00 -3.071122096E-02 -4.064173303E-01  5.983957916E-03  3.006894509E-01 
         5 -3.009895740E-01 -9.954414546E-03 -4.061172072E-01  0.000000000E+00 -3.089644939E-02 -4.061172072E-01 -9.954414546E-03 -3.009895740E-01 
         6  3.009895740E-01 -9.954414546E-03 -4.061172072E-01  0.000000000E+00  2.610495316E-02 -4.061172072E-01 -9.954414546E-03  3.009895740E-01 
         7 -3.014386950E-01  1.389665431E-02 -4.056680862E-01  0.000000000E+00  1.935901893E-02 -4.056680862E-01  1.389665431E-02 -3.014386950E-01 
         8  3.014386950E-01  1.389665431E-02 -4.056680862E-01  0.000000000E+00  2.364097123E-02 -4.056680862E-01  1.389665431E-02  3.014386950E-01 
         9 -3.020355407E-01 -1.779950249E-02 -4.050712405E-01  0.000000000E+00  2.165418996E-02 -4.050712405E-01 -1.779950249E-02 -3.020355407E-01 
        10  3.020355407E-01 -1.779950249E-02 -4.050712405E-01  0.000000000E+00 -5.363795263E-03 -4.050712405E-01 -1.779950249E-02  3.020355407E-01 
        11 -3.027784194E-01  2.165189605E-02 -4.043283618E-01  0.000000000E+00  4.689452979E-02 -4.043283618E-01  2.165189605E-02 -3.027784194E-01 
        12  3.027784194E-01  2.165189605E-02 -4.043283618E-01  0.000000000E+00  3.485483921E-02 -4.043283618E-01  2.165189605E-02  3.027784194E-01 
        13 -3.036652253E-01 -2.544291496E-02 -4.034415559E-01  0.000000000E+00  2.166899124E-02 -4.034415559E-01 -2.544291496E-02 -3.036652253E-01 
        14  3.036652253E-01 -2.544291496E-02 -4.034415559E-01  0.000000000E+00  2.647090525E-02 -4.034415559E-01 -2.544291496E-02  3.036652253E-01 
        15 -3.046934446E-01  2.916181316E-02 -4.024133366E-01  0.000000000E+00  6.929182097E-02 -4.024133366E-01  2.916181316E-02 -3.046934446E-01 
        16  3.046934446E-01  2.916181316E-02 -4.024133366E-01  0.000000000E+00  5.355132978E-02 -4.024133366E-01  2.916181316E-02  3.046934446E-01 
        17 -3.053134140E-01  9.111903971E-03 -4.017933672E-01  8.677583216E-02  0.000000000E+00 -4.017933672E-01  9.111903971E-03 -3.053134140E-01 
        18 -3.058601627E-01 -3.279804903E-02 -4.012466185E-01  0.000000000E+00 -6.615536090E-03 -4.012466185E-01 -3.279804903E-02 -3.058601627E-01 
        19  3.058601627E-01 -3.279804903E-02 -4.012466185E-01  0.000000000E+00 -1.552510900E-02 -4.012466185E-01 -3.279804903E-02  3.058601627E-01 
        20  3.060982982E-01  9.222283513E-03 -4.010084830E-01  8.627166708E-02  0.000000000E+00 -4.010084830E-01  9.222283513E-03  3.060982982E-01 
        21 -3.064024522E-01  2.511073958E-03 -4.007043290E-01  9.015377134E-02  0.000000000E+00 -4.007043290E-01  2.511073958E-03 -3.064024522E-01 
        22 -3.068213511E-01 -4.636908532E-03 -4.002854300E-01  8.947930382E-02  0.000000000E+00 -4.002854300E-01 -4.636908532E-03 -3.068213511E-01 
        23  3.068213511E-01 -4.636908532E-03 -4.002854300E-01  8.996145932E-02  0.000000000E+00 -4.002854300E-01 -4.636908532E-03  3.068213511E-01 
        24  3.069737848E-01  2.212566567E-03 -4.001329964E-01  9.121948026E-02  0.000000000E+00 -4.001329964E-01  2.212566567E-03  3.069737848E-01 
        25 -3.071620724E-01  3.634131527E-02 -3.999447088E-01  0.000000000E+00  5.910656883E-02 -3.999447088E-01  3.634131527E-02 -3.071620724E-01 
        26  3.071620724E-01  3.634131527E-02 -3.999447088E-01  0.000000000E+00  3.103053036E-02 -3.999447088E-01  3.634131527E-02  3.071620724E-01 
        27 -3.073644123E-01  1.548521662E-02 -3.997423689E-01  8.984219751E-02  0.000000000E+00 -3.997423689E-01  1.548521662E-02 -3.073644123E-01 
        28  3.073644123E-01  1.548521662E-02 -3.997423689E-01  8.913321813E-02  0.000000000E+00 -3.997423689E-01  1.548521662E-02  3.073644123E-01 
        29 -3.074066468E-01 -1.219104361E-02 -3.997001344E-01  9.177143129E-02  0.000000000E+00 -3.997001344E-01 -1.219104361E-02 -3.074066468E-01 
        30  3.074066468E-01 -1.219104361E-02 -3.997001344E-01  9.108330830E-02  0.000000000E+00 -3.997001344E-01 -1.219104361E-02  3.074066468E-01 
        31 -3.081542745E-01 -1.839092971E-02 -3.989525067E-01  9.254011733E-02  0.000000000E+00 -3.989525067E-01 -1.839092971E-02 -3.081542745E-01 
        32  3.081542745E-01 -1.839092971E-02 -3.989525067E-01  9.045799259E-02  0.000000000E+00 -3.989525067E-01 -1.839092971E-02  3.081542745E-01 
        33 -3.085954834E-01 -3.978156811E-02 -3.985112978E-01  0.000000000E+00  2.663312857E-02 -3.985112978E-01 -3.978156811E-02 -3.085954834E-01 
        34  3.085954834E-01 -3.978156811E-02 -3.985112978E-01  0.000000000E+00 -1.210576787E-02 -3.985112978E-01 -3.978156811E-02  3.085954834E-01 
        35 -3.088009415E-01  2.228064096E-02 -3.983058396E-01  9.007963629E-02  0.000000000E+00 -3.983058396E-01  2.228064096E-02 -3.088009415E-01 
        36  3.088009415E-01  2.228064096E-02 -3.983058396E-01  9.049706507E-02  0.000000000E+00 -3.983058396E-01  2.228064096E-02  3.088009415E-01 
        37 -3.090338667E-01 -2.533109918E-02 -3.980729144E-01  8.723256004E-02  0.000000000E+00 -3.980729144E-01 -2.533109918E-02 -3.090338667E-01 
        38  3.090338667E-01 -2.533109918E-02 -3.980729144E-01  8.986256280E-02  0.000000000E+00 -3.980729144E-01 -2.533109918E-02  3.090338667E-01 
        39 -3.101563325E-01  4.310905577E-02 -3.969504487E-01  0.000000000E+00 -2.068304468E-02 -3.969504487E-01  4.310905577E-02 -3.101563325E-01 
        40  3.101563325E-01  4.310905577E-02 -3.969504487E-01  0.000000000E+00  5.444024839E-02 -3.969504487E-01  4.310905577E-02  3.101563325E-01 
        41  3.102802763E-01  8.517235218E-03 -3.968265049E-01  1.015372293E-01  0.000000000E+00 -3.968265049E-01  8.517235218E-03  3.102802763E-01 
        42 -3.105033030E-01  7.725083323E-03 -3.966034781E-01  1.019044622E-01  0.000000000E+00 -3.966034781E-01  7.725083323E-03 -3.105033030E-01 
        43 -3.106999251E-01  2.892229763E-02 -3.964068561E-01  9.009424826E-02  0.000000000E+00 -3.964068561E-01  2.892229763E-02 -3.106999251E-01 
        44  3.106999251E-01  2.892229763E-02 -3.964068561E-01  9.028559377E-02  0.000000000E+00 -3.964068561E-01  2.892229763E-02  3.106999251E-01 
        45 -3.118401952E-01 -4.631434612E-02 -3.952665860E-01  0.000000000E+00  3.563696602E-02 -3.952665860E-01 -4.631434612E-02 -3.118401952E-01 
        46  3.118401952E-01 -4.631434612E-02 -3.952665860E-01  0.000000000E+00  5.076212651E-02 -3.952665860E-01 -4.631434612E-02  3.118401952E-01 
        47 -3.122568808E-01  3.515413307E-02 -3.948499004E-01  8.828946196E-02  0.000000000E+00 -3.948499004E-01  3.515413307E-02 -3.122568808E-01 
        48  3.122568808E-01  3.515413307E-02 -3.948499004E-01  8.823734838E-02  0.000000000E+00 -3.948499004E-01  3.515413307E-02  3.122568808E-01 
        49 -3.124309162E-01  4.138666529E-04 -3.946758650E-01  1.027760134E-01  0.000000000E+00 -3.946758650E-01  4.138666529E-04 -3.124309162E-01 
        50  3.125040866E-01  7.736754484E-04 -3.946026946E-01  1.029541754E-01  0.000000000E+00 -3.946026946E-01  7.736754484E-04  3.125040866E-01 
        51 -3.125909298E-01 -3.174289771E-02 -3.945158514E-01  9.271282471E-02  0.000000000E+00 -3.945158514E-01 -3.174289771E-02 -3.125909298E-01 
        52  3.125909298E-01 -3.174289771E-02 -3.945158514E-01  9.477116094E-02  0.000000000E+00 -3.945158514E-01 -3.174289771E-02  3.125909298E-01 
        53 -3.129084384E-01  1.539946918E-02 -3.941983428E-01  1.026075695E-01  0.000000000E+00 -3.941983428E-01  1.539946918E-02 -3.129084384E-01 
        54  3.129084384E-01  1.539946918E-02 -3.941983428E-01  1.027041464E-01  0.000000000E+00 -3.941983428E-01  1.539946918E-02  3.129084384E-01 
        55 -3.132428702E-01 -7.226155647E-03 -3.938639110E-01  1.029358464E-01  0.000000000E+00 -3.938639110E-01 -7.226155647E-03 -3.132428702E-01 
        56  3.132428702E-01 -7.226155647E-03 -3.938639110E-01  1.030843537E-01  0.000000000E+00 -3.938639110E-01 -7.226155647E-03  3.132428702E-01 
        57 -3.136422985E-01  4.938835343E-02 -3.934644827E-01  0.000000000E+00  1.934648841E-02 -3.934644827E-01  4.938835343E-02 -3.136422985E-01 
        58  3.136422985E-01  4.938835343E-02 -3.934644827E-01  0.000000000E+00  1.031041143E-02 -3.934644827E-01  4.938835343E-02  3.136422985E-01 
        59 -3.137440182E-01 -1.508499113E-02 -3.933627630E-01  1.029563609E-01  0.000000000E+00 -3.933627630E-01 -1.508499113E-02 -3.137440182E-01 
        60  3.137440182E-01 -1.508499113E-02 -3.933627630E-01  1.031498470E-01  0.000000000E+00 -3.933627630E-01 -1.508499113E-02  3.137440182E-01 
        61 -3.141652398E-01 -2.265612842E-02 -3.929415414E-01  1.027722004E-01  0.000000000E+00 -3.929415414E-01 -2.265612842E-02 -3.141652398E-01 
        62  3.141652398E-01 -2.265612842E-02 -3.929415414E-01  1.029498682E-01  0.000000000E+00 -3.929415414E-01 -2.265612842E-02  3.141652398E-01 
        63 -3.146443475E-01  2.229489064E-02 -3.924624336E-01  1.030948043E-01  0.000000000E+00 -3.924624336E-01  2.229489064E-02 -3.146443475E-01 
        64  3.146443475E-01  2.229489064E-02 -3.924624336E-01  1.034701723E-01  0.000000000E+00 -3.924624336E-01  2.229489064E-02  3.146443475E-01 
        65 -3.148901621E-01 -3.932937383E-02 -3.922166191E-01  9.222965966E-02  0.000000000E+00 -3.922166191E-01 -3.932937383E-02 -3.148901621E-01 
        66  3.148901621E-01 -3.932937383E-02 -3.922166191E-01  9.232943637E-02  0.000000000E+00 -3.922166191E-01 -3.932937383E-02  3.148901621E-01 
        67 -3.155575341E-01 -5.232236409E-02 -3.915492471E-01  0.000000000E+00  2.265790130E-02 -3.915492471E-01 -5.232236409E-02 -3.155575341E-01 
        68  3.155575341E-01 -5.232236409E-02 -3.915492471E-01  0.000000000E+00  4.701899739E-02 -3.915492471E-01 -5.232236409E-02  3.155575341E-01 
        69 -3.156799937E-01  7.631400927E-03 -3.914267875E-01  1.034208547E-01  0.000000000E+00 -3.914267875E-01  7.631400927E-03 -3.156799937E-01 
        70  3.156799937E-01  7.631400927E-03 -3.914267875E-01  1.040498366E-01  0.000000000E+00 -3.914267875E-01  7.631400927E-03  3.156799937E-01 
        71  3.157096216E-01  3.950773652E-02 -3.913971596E-01  9.494934949E-02  0.000000000E+00 -3.913971596E-01  3.950773652E-02  3.157096216E-01 
        72 -3.166377159E-01  3.918102438E-02 -3.904690652E-01  9.617479073E-02  0.000000000E+00 -3.904690652E-01  3.918102438E-02 -3.166377159E-01 
        73  3.168204810E-01  2.941220274E-02 -3.902863002E-01  1.033860125E-01  0.000000000E+00 -3.902863002E-01  2.941220274E-02  3.168204810E-01 
        74  3.170374462E-01 -4.484205297E-02 -3.900693350E-01  9.039626151E-02  0.000000000E+00 -3.900693350E-01 -4.484205297E-02  3.170374462E-01 
        75 -3.170656373E-01  3.037263767E-02 -3.900411439E-01  1.030990537E-01  0.000000000E+00 -3.900411439E-01  3.037263767E-02 -3.170656373E-01 
        76 -3.173141199E-01 -3.472589734E-02 -3.897926613E-01  1.034185857E-01  0.000000000E+00 -3.897926613E-01 -3.472589734E-02 -3.173141199E-01 
