nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude         pressure     z-coordinate     y-coordinate     x-coordinate 
         1 -1.850711129E-01 -1.996539108E-03 -4.704994123E-01  0.000000000E+00  5.829131636E-03 -4.704994123E-01 -1.996539108E-03 -1.850711129E-01 
         2  1.850711129E-01 -1.996539108E-03 -4.704994123E-01  0.000000000E+00  1.072442766E-02 -4.704994123E-01 -1.996539108E-03  1.850711129E-01 
         3 -1.852551609E-01  5.983957916E-03 -4.703931522E-01  0.000000000E+00  8.229222331E-02 -4.703931522E-01  5.983957916E-03 -1.852551609E-01 
         4  1.852551609E-01  5.983957916E-03 -4.703931522E-01  0.000000000E+00  5.531055894E-02 -4.703931522E-01  5.983957916E-03  1.852551609E-01 
         5 -1.856227352E-01 -9.954414546E-03 -4.701809331E-01  0.000000000E+00  4.654225697E-02 -4.701809331E-01 -9.954414546E-03 -1.856227352E-01 
         6  1.856227352E-01 -9.954414546E-03 -4.701809331E-01  0.000000000E+00 -2.252956588E-02 -4.701809331E-01 -9.954414546E-03  1.856227352E-01 
         7 -1.861727938E-01  1.389665431E-02 -4.698633566E-01  0.000000000E+00  6.892098728E-02 -4.698633566E-01  1.389665431E-02 -1.861727938E-01 
         8  1.861727938E-01  1.389665431E-02 -4.698633566E-01  0.000000000E+00  3.724473452E-02 -4.698633566E-01  1.389665431E-02  1.861727938E-01 
         9 -1.869037776E-01 -1.779950249E-02 -4.694413229E-01  0.000000000E+00  5.467877537E-02 -4.694413229E-01 -1.779950249E-02 -1.869037776E-01 
        10  1.869037776E-01 -1.779950249E-02 -4.694413229E-01  0.000000000E+00  8.022355419E-02 -4.694413229E-01 -1.779950249E-02  1.869037776E-01 
        11 -1.878136144E-01  2.165189605E-02 -4.689160283E-01  0.000000000E+00  5.925280529E-02 -4.689160283E-01  2.165189605E-02 -1.878136144E-01 
        12  1.878136144E-01  2.165189605E-02 -4.689160283E-01  0.000000000E+00  5.193802294E-02 -4.689160283E-01  2.165189605E-02  1.878136144E-01 
        13 -1.888997254E-01 -2.544291496E-02 -4.682889619E-01  0.000000000E+00  2.322011424E-02 -4.682889619E-01 -2.544291496E-02 -1.888997254E-01 
        14  1.888997254E-01 -2.544291496E-02 -4.682889619E-01  0.000000000E+00  3.780747984E-02 -4.682889619E-01 -2.544291496E-02  1.888997254E-01 
        15 -1.901590317E-01  2.916181316E-02 -4.675619011E-01  0.000000000E+00  9.818579401E-02 -4.675619011E-01  2.916181316E-02 -1.901590317E-01 
        16  1.901590317E-01  2.916181316E-02 -4.675619011E-01  0.000000000E+00  2.156954523E-02 -4.675619011E-01  2.916181316E-02  1.901590317E-01 
        17  1.904366663E-01  9.426144955E-03 -4.674016086E-01  9.616323452E-02  0.000000000E+00 -4.674016086E-01  9.426144955E-03  1.904366663E-01 
        18 -1.910562639E-01  8.863670234E-03 -4.670438838E-01  1.053449629E-01  0.000000000E+00 -4.670438838E-01  8.863670234E-03 -1.910562639E-01 
        19 -1.915879637E-01 -3.279804903E-02 -4.667369068E-01  0.000000000E+00  7.557719491E-02 -4.667369068E-01 -3.279804903E-02 -1.915879637E-01 
