cellnumber     x-coordinate     y-coordinate     y-wall-shear     x-wall-shear       wall-shear velocity-magnitude       y-velocity       x-velocity         pressure     y-coordinate     x-coordinate 
         1  9.276414730E-16  9.814814925E-01  1.897475272E-06 -0.000000000E+00  1.897475272E-06  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.149085276E-06  9.814784527E-01  1.852055639E-02 
         2  8.388351506E-16  9.444444180E-01  5.228816917E-07 -0.000000000E+00  5.228816917E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.125976610E-06  9.444390535E-01  1.852080785E-02 
         3  8.059396732E-16  9.074074030E-01  3.807150790E-07 -0.000000000E+00  3.807150790E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -5.467925348E-07  9.073989987E-01  1.852284558E-02 
         4  7.730441958E-16  8.703703880E-01  2.708270586E-07 -0.000000000E+00  2.708270301E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.922758142E-07  8.703568578E-01  1.852511801E-02 
         5  7.401487184E-16  8.333333731E-01  1.953962538E-07 -0.000000000E+00  1.953962538E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.685832558E-07  8.333178759E-01  1.852555573E-02 
         6  7.072531880E-16  7.962962985E-01  1.447319562E-07 -0.000000000E+00  1.447319562E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -8.622547654E-08  7.962780595E-01  1.852757856E-02 
         7  6.743576577E-16  7.592592239E-01  1.060196269E-07 -0.000000000E+00  1.060196269E-07  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.654122693E-08  7.592371106E-01  1.852999814E-02 
         8  6.414621802E-16  7.222222090E-01  7.792018408E-08 -0.000000000E+00  7.792018408E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.248553065E-09  7.221991420E-01  1.853102446E-02 
         9  6.085667028E-16  6.851851940E-01  5.584229612E-08 -0.000000000E+00  5.584229612E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.528050220E-08  6.851601601E-01  1.853300817E-02 
        10  5.756712254E-16  6.481481791E-01  3.896306922E-08 -0.000000000E+00  3.896306922E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.660154763E-08  6.481221318E-01  1.853489503E-02 
        11  5.427756950E-16  6.111111045E-01  2.579795222E-08 -0.000000000E+00  2.579795222E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.213555289E-08  6.110857129E-01  1.853593998E-02 
        12  5.098802176E-16  5.740740895E-01  1.568557373E-08 -0.000000000E+00  1.568557373E-08  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.379227564E-08  5.740485787E-01  1.853680238E-02 
        13  4.769846873E-16  5.370370150E-01  8.037477350E-09 -0.000000000E+00  8.037477350E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  3.258236347E-08  5.370125175E-01  1.853825711E-02 
        14  4.440892099E-16  5.000000000E-01  2.385472264E-09 -0.000000000E+00  2.385472264E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.992816306E-08  4.999762475E-01  1.853904314E-02 
